Angle, Distance, Height
-15,207,220
-15,199,220
-15,208,220
-15,219,220
-15,210,220
-15,202,220
-15,208,220
-15,208,220
-15,201,220
-15,213,220
-15,205,220
-15,203,220
-15,211,220
-15,197,220
-15,199,220
-15,209,220
-15,206,220
-15,215,220
-15,209,220
-15,208,220
-15,204,220
-15,207,220
-15,205,220
-15,209,220
-15,210,220
-15,213,220
-15,202,220
-15,211,220
-15,199,220
-15,214,220
0,269,220
0,253,220
0,274,220
0,268,220
0,272,220
0,280,220
0,269,220
0,274,220
0,274,220
0,271,220
0,276,220
0,269,220
0,285,220
0,279,220
0,284,220
0,278,220
0,268,220
0,277,220
0,271,220
0,274,220
0,282,220
0,281,220
0,278,220
0,282,220
0,283,220
0,287,220
0,278,220
0,273,220
0,281,220
0,274,220
15,284,220
15,284,220
15,286,220
15,285,220
15,284,220
15,291,220
15,287,220
15,284,220
15,277,220
15,273,220
15,271,220
15,284,220
15,285,220
15,283,220
15,283,220
15,279,220
15,277,220
15,282,220
15,283,220
15,280,220
15,288,220
15,290,220
15,282,220
15,278,220
15,280,220
15,273,220
15,276,220
15,284,220
15,286,220
15,275,220
30,279,220
30,276,220
30,284,220
30,278,220
30,279,220
30,285,220
30,280,220
30,286,220
30,285,220
30,281,220
30,284,220
30,290,220
30,278,220
30,279,220
30,278,220
30,282,220
30,286,220
30,282,220
30,273,220
30,294,220
30,290,220
30,282,220
30,281,220
30,281,220
30,280,220
30,285,220
30,289,220
30,286,220
30,287,220
30,298,220
-30,151,220
-30,163,220
-30,160,220
-30,161,220
-30,152,220
-30,154,220
-30,163,220
-30,174,220
-30,165,220
-30,141,220
-30,151,220
-30,162,220
-30,162,220
-30,157,220
-30,164,220
-30,163,220
-30,166,220
-30,179,220
-30,148,220
-30,164,220
-30,168,220
-30,170,220
-30,154,220
-30,157,220
-30,147,220
-30,155,220
-30,156,220
-30,161,220
-30,154,220
-30,163,220
-45,128,220
-45,138,220
-45,138,220
-45,129,220
-45,127,220
-45,127,220
-45,136,220
-45,137,220
-45,137,220
-45,135,220
-45,128,220
-45,135,220
-45,139,220
-45,134,220
-45,133,220
-45,127,220
-45,135,220
-45,126,220
-45,129,220
-45,128,220
-45,140,220
-45,139,220
-45,139,220
-45,127,220
-45,134,220
-45,129,220
-45,140,220
-45,127,220
-45,128,220
-45,127,220
-45,104,110
-45,100,110
-45,103,110
-45,100,110
-45,78,110
-45,88,110
-45,82,110
-45,93,110
-45,96,110
-45,80,110
-45,98,110
-45,94,110
-45,92,110
-45,99,110
-45,98,110
-45,90,110
-45,80,110
-45,85,110
-45,88,110
-45,82,110
-45,75,110
-45,82,110
-45,89,110
-45,79,110
-45,95,110
-45,97,110
-45,90,110
-45,96,110
-45,97,110
-45,89,110
-30,127,110
-30,128,110
-30,114,110
-30,106,110
-30,117,110
-30,116,110
-30,117,110
-30,113,110
-30,122,110
-30,123,110
-30,118,110
-30,125,110
-30,129,110
-30,122,110
-30,117,110
-30,118,110
-30,128,110
-30,118,110
-30,121,110
-30,109,110
-30,105,110
-30,109,110
-30,104,110
-30,108,110
-30,111,110
-30,116,110
-30,114,110
-30,119,110
-30,117,110
-30,116,110
-15,157,110
-15,148,110
-15,144,110
-15,146,110
-15,136,110
-15,151,110
-15,135,110
-15,132,110
-15,136,110
-15,138,110
-15,148,110
-15,139,110
-15,147,110
-15,146,110
-15,141,110
-15,147,110
-15,143,110
-15,135,110
-15,145,110
-15,153,110
-15,150,110
-15,151,110
-15,148,110
-15,149,110
-15,150,110
-15,156,110
-15,149,110
-15,149,110
-15,138,110
-15,153,110
0,190,110
0,184,110
0,173,110
0,184,110
0,180,110
0,181,110
0,184,110
0,192,110
0,183,110
0,175,110
0,181,110
0,178,110
0,188,110
0,174,110
0,194,110
0,182,110
0,187,110
0,187,110
0,198,110
0,173,110
0,192,110
0,181,110
0,182,110
0,192,110
0,173,110
0,192,110
0,189,110
0,169,110
0,187,110
0,204,110
15,237,110
15,225,110
15,236,110
15,217,110
15,232,110
15,218,110
15,227,110
15,236,110
15,233,110
15,237,110
15,223,110
15,221,110
15,228,110
15,231,110
15,217,110
15,232,110
15,226,110
15,223,110
15,227,110
15,229,110
15,225,110
15,218,110
15,214,110
15,233,110
15,229,110
15,227,110
15,223,110
15,227,110
15,226,110
15,229,110
30,237,110
30,225,110
30,236,110
30,217,110
30,232,110
30,218,110
30,227,110
30,236,110
30,233,110
30,237,110
30,223,110
30,221,110
30,228,110
30,231,110
30,217,110
30,232,110
30,226,110
30,223,110
30,227,110
30,229,110
30,225,110
30,218,110
30,214,110
30,233,110
30,229,110
30,227,110
30,223,110
30,227,110
30,226,110
30,229,110